リーグ,チーム,選手名,背番号,ポジション,区分,被打率,被打数,被安打,被本塁打,奪三振,与四球,与死球
セ,広島東洋カープ,鈴木 健矢,41,投,対右打者,0.4,5,2,1,1,1,0
セ,広島東洋カープ,鈴木 健矢,41,投,対左打者,1,2,2,0,0,0,0
セ,広島東洋カープ,齊藤 汰直,11,投,対右打者,0.25,4,1,0,0,0,0
セ,広島東洋カープ,齊藤 汰直,11,投,対左打者,0.75,4,3,0,0,1,0
セ,阪神タイガース,ドリス,98,投,対右打者,0.2,10,2,0,1,0,0
セ,阪神タイガース,ドリス,98,投,対左打者,0.333,6,2,0,2,1,0
セ,阪神タイガース,モレッタ,99,投,対右打者,0.125,8,1,0,4,0,0
セ,阪神タイガース,モレッタ,99,投,対左打者,0.111,9,1,0,2,1,0
セ,阪神タイガース,ルーカス,42,投,対右打者,0.25,8,2,1,1,2,0
セ,阪神タイガース,ルーカス,42,投,対左打者,0.417,12,5,0,5,0,0
セ,阪神タイガース,伊原 陵人,18,投,対右打者,0.111,9,1,0,1,0,1
セ,阪神タイガース,伊原 陵人,18,投,対左打者,0,6,0,0,2,2,0
セ,阪神タイガース,伊藤 将司,27,投,対右打者,0.333,6,2,0,0,1,0
セ,阪神タイガース,伊藤 将司,27,投,対左打者,0.667,6,4,0,1,0,0
セ,阪神タイガース,岩崎 優,13,投,対右打者,0.3,10,3,0,2,0,0
セ,阪神タイガース,岩崎 優,13,投,対左打者,0.167,6,1,0,1,0,0
セ,阪神タイガース,及川 雅貴,37,投,対右打者,0,3,0,0,1,1,0
セ,阪神タイガース,及川 雅貴,37,投,対左打者,0.6,5,3,1,0,0,0
セ,阪神タイガース,桐敷 拓馬,47,投,対右打者,0.5,8,4,2,1,0,0
セ,阪神タイガース,桐敷 拓馬,47,投,対左打者,0,6,0,0,1,0,0
セ,阪神タイガース,才木 浩人,35,投,対右打者,0.2,5,1,0,1,1,0
セ,阪神タイガース,才木 浩人,35,投,対左打者,0.188,16,3,1,4,2,0
セ,阪神タイガース,石黒 佑弥,63,投,対右打者,0,2,0,0,2,1,0
セ,阪神タイガース,石黒 佑弥,63,投,対左打者,0,4,0,0,2,0,0
セ,阪神タイガース,早川 太貴,51,投,対右打者,0.2,5,1,0,2,0,0
セ,阪神タイガース,早川 太貴,51,投,対左打者,0.286,7,2,0,2,1,0
セ,阪神タイガース,村上 頌樹,41,投,対右打者,0.13,23,3,1,7,2,0
セ,阪神タイガース,村上 頌樹,41,投,対左打者,0.25,20,5,1,6,2,0
セ,阪神タイガース,大竹 耕太郎,21,投,対右打者,0.125,8,1,0,1,0,0
セ,阪神タイガース,大竹 耕太郎,21,投,対左打者,0.667,9,6,0,1,0,0
セ,阪神タイガース,湯浅 京己,65,投,対右打者,0.5,6,3,1,1,0,0
セ,阪神タイガース,湯浅 京己,65,投,対左打者,0.25,4,1,0,1,1,0
セ,阪神タイガース,木下 里都,54,投,対右打者,0.667,3,2,1,0,0,0
セ,阪神タイガース,木下 里都,54,投,対左打者,0.375,8,3,1,1,0,0
セ,阪神タイガース,髙橋 遥人,29,投,対右打者,0.185,27,5,0,7,2,0
セ,阪神タイガース,髙橋 遥人,29,投,対左打者,0.136,22,3,0,3,1,0
セ,中日ドラゴンズ,アブレウ,28,投,対右打者,1,3,3,0,0,0,0
セ,中日ドラゴンズ,アブレウ,28,投,対左打者,0.5,2,1,0,0,1,0
セ,中日ドラゴンズ,メヒア,91,投,対右打者,0,5,0,0,0,0,0
セ,中日ドラゴンズ,メヒア,91,投,対左打者,0,4,0,0,0,0,0
セ,中日ドラゴンズ,橋本 侑樹,13,投,対右打者,0.2,5,1,0,3,0,0
セ,中日ドラゴンズ,橋本 侑樹,13,投,対左打者,0.286,7,2,0,1,0,0
セ,中日ドラゴンズ,近藤 廉,70,投,対右打者,0.333,3,1,0,0,2,0
セ,中日ドラゴンズ,近藤 廉,70,投,対左打者,0.333,6,2,0,1,0,0
セ,中日ドラゴンズ,金丸 夢斗,21,投,対右打者,0.167,12,2,0,3,1,0
セ,中日ドラゴンズ,金丸 夢斗,21,投,対左打者,0.333,9,3,0,4,1,0
セ,中日ドラゴンズ,根尾 昂,30,投,対右打者,0.2,5,1,0,2,0,1
セ,中日ドラゴンズ,根尾 昂,30,投,対左打者,0,1,0,0,0,1,0
セ,中日ドラゴンズ,勝野 昌慶,41,投,対右打者,0.2,5,1,1,3,2,0
セ,中日ドラゴンズ,勝野 昌慶,41,投,対左打者,0.25,4,1,0,3,1,0
セ,中日ドラゴンズ,大野 雄大,22,投,対右打者,0.133,15,2,0,3,0,0
セ,中日ドラゴンズ,大野 雄大,22,投,対左打者,0.133,15,2,0,3,0,0
セ,中日ドラゴンズ,中西 聖輝,11,投,対右打者,0.111,9,1,0,3,1,1
セ,中日ドラゴンズ,中西 聖輝,11,投,対左打者,0.357,14,5,1,3,0,0
セ,中日ドラゴンズ,藤嶋 健人,54,投,対右打者,0,1,0,0,0,2,0
セ,中日ドラゴンズ,藤嶋 健人,54,投,対左打者,0.333,3,1,0,0,1,0
セ,中日ドラゴンズ,梅野 雄吾,46,投,対右打者,0.2,5,1,0,2,2,0
セ,中日ドラゴンズ,梅野 雄吾,46,投,対左打者,0.75,4,3,0,1,2,0
セ,中日ドラゴンズ,牧野 憲伸,68,投,対右打者,0.333,3,1,0,0,2,0
セ,中日ドラゴンズ,牧野 憲伸,68,投,対左打者,0,3,0,0,1,1,0
セ,中日ドラゴンズ,柳 裕也,17,投,対右打者,0.1,30,3,0,7,0,0
セ,中日ドラゴンズ,柳 裕也,17,投,対左打者,0.25,24,6,0,4,2,0
セ,中日ドラゴンズ,櫻井 頼之介,16,投,対右打者,0.381,21,8,3,4,1,0
セ,中日ドラゴンズ,櫻井 頼之介,16,投,対左打者,0.176,17,3,0,6,2,0
セ,中日ドラゴンズ,齋藤 綱記,59,投,対左打者,1,1,1,0,0,0,0
セ,中日ドラゴンズ,髙橋 宏斗,19,投,対右打者,0.219,32,7,0,12,2,0
セ,中日ドラゴンズ,髙橋 宏斗,19,投,対左打者,0.333,21,7,0,5,2,0
セ,東京ヤクルトスワローズ,キハダ,11,投,対右打者,0.167,6,1,0,2,1,0
セ,東京ヤクルトスワローズ,キハダ,11,投,対左打者,0,3,0,0,1,0,0
セ,東京ヤクルトスワローズ,リランソ,62,投,対右打者,0.167,6,1,0,2,0,0
セ,東京ヤクルトスワローズ,リランソ,62,投,対左打者,0.4,5,2,0,2,1,0
セ,東京ヤクルトスワローズ,奥川 恭伸,18,投,対右打者,0.077,13,1,0,2,0,0
セ,東京ヤクルトスワローズ,奥川 恭伸,18,投,対左打者,0.2,10,2,0,3,0,0
セ,東京ヤクルトスワローズ,吉村 貢司郎,21,投,対右打者,0.32,25,8,1,5,2,0
セ,東京ヤクルトスワローズ,吉村 貢司郎,21,投,対左打者,0.176,17,3,0,8,0,0
セ,東京ヤクルトスワローズ,高梨 裕稔,40,投,対右打者,0.31,29,9,0,9,3,0
セ,東京ヤクルトスワローズ,高梨 裕稔,40,投,対左打者,0.2,15,3,1,2,1,0
セ,東京ヤクルトスワローズ,山野 太一,26,投,対右打者,0.293,41,12,1,6,2,1
セ,東京ヤクルトスワローズ,山野 太一,26,投,対左打者,0.222,9,2,0,5,0,0
セ,東京ヤクルトスワローズ,小川 泰弘,29,投,対右打者,0.333,9,3,0,2,2,1
セ,東京ヤクルトスワローズ,小川 泰弘,29,投,対左打者,0,9,0,0,0,1,1
セ,東京ヤクルトスワローズ,松本 健吾,28,投,対右打者,0.333,3,1,0,1,1,0
セ,東京ヤクルトスワローズ,松本 健吾,28,投,対左打者,0,4,0,0,3,0,0
セ,東京ヤクルトスワローズ,星 知弥,24,投,対右打者,0.333,12,4,0,2,0,0
セ,東京ヤクルトスワローズ,星 知弥,24,投,対左打者,0.5,6,3,0,1,2,0
セ,東京ヤクルトスワローズ,清水 昇,17,投,対右打者,0,2,0,0,0,0,0
セ,東京ヤクルトスワローズ,清水 昇,17,投,対左打者,0.333,3,1,0,0,0,0
セ,東京ヤクルトスワローズ,荘司 宏太,30,投,対右打者,0.25,4,1,0,2,2,0
セ,東京ヤクルトスワローズ,荘司 宏太,30,投,対左打者,0.4,5,2,0,1,0,0
セ,東京ヤクルトスワローズ,大西 広樹,44,投,対右打者,0.333,9,3,0,1,0,0
セ,東京ヤクルトスワローズ,大西 広樹,44,投,対左打者,0.333,3,1,0,0,1,0
セ,東京ヤクルトスワローズ,田口 麗斗,34,投,対右打者,0.333,3,1,0,1,0,0
セ,東京ヤクルトスワローズ,田口 麗斗,34,投,対左打者,0,1,0,0,1,0,0
セ,東京ヤクルトスワローズ,木澤 尚文,20,投,対右打者,0,7,0,0,2,0,1
セ,東京ヤクルトスワローズ,木澤 尚文,20,投,対左打者,0.5,2,1,0,1,2,0
セ,東京ヤクルトスワローズ,廣澤 優,70,投,対右打者,0,6,0,0,0,2,1
セ,東京ヤクルトスワローズ,廣澤 優,70,投,対左打者,0,2,0,0,1,1,0
セ,読売ジャイアンツ,ウィットリー,26,投,対右打者,0.286,14,4,1,3,0,0
セ,読売ジャイアンツ,ウィットリー,26,投,対左打者,0.333,6,2,0,1,0,0
セ,読売ジャイアンツ,ハワード,28,投,対右打者,0.083,12,1,0,3,4,0
セ,読売ジャイアンツ,ハワード,28,投,対左打者,0.381,21,8,0,11,3,0
セ,読売ジャイアンツ,マルティネス,92,投,対右打者,0.667,3,2,0,1,0,0
セ,読売ジャイアンツ,マルティネス,92,投,対左打者,0,2,0,0,0,0,0
セ,読売ジャイアンツ,ルシアーノ,48,投,対右打者,0,4,0,0,1,0,0
セ,読売ジャイアンツ,ルシアーノ,48,投,対左打者,0.167,6,1,0,2,0,0
セ,読売ジャイアンツ,井上 温大,97,投,対右打者,0.143,14,2,0,4,0,0
セ,読売ジャイアンツ,井上 温大,97,投,対左打者,0.111,9,1,1,4,1,0
セ,読売ジャイアンツ,山城 京平,36,投,対右打者,0,1,0,0,0,2,2
セ,読売ジャイアンツ,山城 京平,36,投,対左打者,0.429,7,3,0,1,1,0
セ,読売ジャイアンツ,石川 達也,65,投,対右打者,0.5,4,2,1,1,0,0
セ,読売ジャイアンツ,石川 達也,65,投,対左打者,0.667,3,2,0,0,1,0
セ,読売ジャイアンツ,赤星 優志,31,投,対右打者,0.143,7,1,0,1,0,0
セ,読売ジャイアンツ,赤星 優志,31,投,対左打者,0.25,8,2,0,1,0,0
セ,読売ジャイアンツ,泉 圭輔,63,投,対右打者,0.5,4,2,0,1,1,0
セ,読売ジャイアンツ,泉 圭輔,63,投,対左打者,0,3,0,0,0,0,0
セ,読売ジャイアンツ,船迫 大雅,58,投,対右打者,0.25,8,2,0,0,1,0
セ,読売ジャイアンツ,船迫 大雅,58,投,対左打者,0.2,5,1,0,2,1,1
セ,読売ジャイアンツ,則本 昂大,43,投,対右打者,0.313,16,5,1,3,0,0
セ,読売ジャイアンツ,則本 昂大,43,投,対左打者,0,7,0,0,2,0,0
セ,読売ジャイアンツ,大勢,15,投,対右打者,0,5,0,0,2,0,0
セ,読売ジャイアンツ,大勢,15,投,対左打者,0,5,0,0,2,0,0
セ,読売ジャイアンツ,竹丸 和幸,21,投,対右打者,0.375,16,6,0,2,4,0
セ,読売ジャイアンツ,竹丸 和幸,21,投,対左打者,0.087,23,2,0,9,2,1
セ,読売ジャイアンツ,中川 皓太,41,投,対右打者,0.25,4,1,0,1,1,0
セ,読売ジャイアンツ,中川 皓太,41,投,対左打者,0.375,8,3,0,1,0,0
セ,読売ジャイアンツ,田中 瑛斗,45,投,対右打者,0.143,7,1,0,1,1,0
セ,読売ジャイアンツ,田中 瑛斗,45,投,対左打者,0.2,5,1,0,0,0,1
セ,読売ジャイアンツ,田中 将大,11,投,対右打者,0.278,18,5,0,4,1,0
セ,読売ジャイアンツ,田中 将大,11,投,対左打者,0.25,4,1,0,0,0,0
セ,読売ジャイアンツ,田和 廉,30,投,対右打者,0.333,3,1,0,0,0,0
セ,読売ジャイアンツ,田和 廉,30,投,対左打者,0,5,0,0,3,1,0
セ,読売ジャイアンツ,北浦 竜次,56,投,対右打者,0.333,6,2,1,2,1,0
セ,読売ジャイアンツ,北浦 竜次,56,投,対左打者,0.333,9,3,0,0,0,0
セ,読売ジャイアンツ,又木 鉄平,46,投,対右打者,0.333,3,1,0,0,1,0
セ,読売ジャイアンツ,又木 鉄平,46,投,対左打者,0,4,0,0,1,0,0
パ,埼玉西武ライオンズ,E.ラミレス,56,投,対右打者,0.143,7,1,0,2,0,0
パ,埼玉西武ライオンズ,E.ラミレス,56,投,対左打者,0.5,4,2,0,0,0,0
パ,埼玉西武ライオンズ,羽田 慎之介,43,投,対右打者,0.75,4,3,0,0,0,1
パ,埼玉西武ライオンズ,羽田 慎之介,43,投,対左打者,0,1,0,0,1,1,0
パ,埼玉西武ライオンズ,岩城 颯空,20,投,対右打者,0.25,4,1,0,1,1,0
パ,埼玉西武ライオンズ,岩城 颯空,20,投,対左打者,0,3,0,0,1,0,0
パ,埼玉西武ライオンズ,隅田 知一郎,16,投,対右打者,0.385,13,5,0,2,0,0
パ,埼玉西武ライオンズ,隅田 知一郎,16,投,対左打者,0.3,10,3,0,2,1,0
パ,埼玉西武ライオンズ,甲斐野 央,34,投,対右打者,0.25,4,1,0,1,0,0
パ,埼玉西武ライオンズ,甲斐野 央,34,投,対左打者,0.143,7,1,0,2,1,0
パ,埼玉西武ライオンズ,黒田 将矢,57,投,対右打者,0,2,0,0,1,0,0
パ,埼玉西武ライオンズ,黒田 将矢,57,投,対左打者,0.2,5,1,0,1,0,0
パ,埼玉西武ライオンズ,糸川 亮太,23,投,対右打者,0.167,6,1,1,1,0,0
パ,埼玉西武ライオンズ,糸川 亮太,23,投,対左打者,0.5,4,2,1,1,0,0
パ,埼玉西武ライオンズ,篠原 響,52,投,対右打者,0,4,0,0,2,0,0
パ,埼玉西武ライオンズ,篠原 響,52,投,対左打者,0,2,0,0,1,0,0
パ,埼玉西武ライオンズ,菅井 信也,71,投,対右打者,0.333,12,4,0,0,1,0
パ,埼玉西武ライオンズ,菅井 信也,71,投,対左打者,0.143,7,1,0,1,2,0
パ,埼玉西武ライオンズ,中村 祐太,58,投,対右打者,0.2,5,1,0,1,0,0
パ,埼玉西武ライオンズ,中村 祐太,58,投,対左打者,0.25,8,2,0,3,1,0
パ,埼玉西武ライオンズ,渡邉 勇太朗,12,投,対右打者,0.35,20,7,0,4,1,0
パ,埼玉西武ライオンズ,渡邉 勇太朗,12,投,対左打者,0.214,28,6,1,5,3,0
パ,埼玉西武ライオンズ,浜屋 将太,90,投,対右打者,0,4,0,0,2,0,0
パ,埼玉西武ライオンズ,浜屋 将太,90,投,対左打者,0.2,5,1,0,0,1,0
パ,埼玉西武ライオンズ,冨士 大和,67,投,対右打者,0.625,8,5,1,1,0,0
パ,埼玉西武ライオンズ,冨士 大和,67,投,対左打者,0.4,5,2,0,2,1,0
パ,埼玉西武ライオンズ,武内 夏暉,21,投,対右打者,0.174,23,4,0,7,0,0
パ,埼玉西武ライオンズ,武内 夏暉,21,投,対左打者,0.263,19,5,0,5,0,0
パ,埼玉西武ライオンズ,平良 海馬,61,投,対右打者,0,20,0,0,4,2,0
パ,埼玉西武ライオンズ,平良 海馬,61,投,対左打者,0.184,38,7,0,13,3,1
パ,埼玉西武ライオンズ,髙橋 光成,13,投,対右打者,0.167,12,2,0,2,0,0
パ,埼玉西武ライオンズ,髙橋 光成,13,投,対左打者,0.273,11,3,0,2,2,1
パ,オリックス・バファローズ,エスピノーザ,0,投,対右打者,0.077,13,1,0,3,1,0
パ,オリックス・バファローズ,エスピノーザ,0,投,対左打者,0.211,19,4,0,4,0,0
パ,オリックス・バファローズ,ジェリー,69,投,対右打者,0.385,13,5,0,1,1,1
パ,オリックス・バファローズ,ジェリー,69,投,対左打者,0.091,11,1,0,4,1,0
パ,オリックス・バファローズ,ペルドモ,59,投,対右打者,0.333,6,2,1,3,1,0
パ,オリックス・バファローズ,ペルドモ,59,投,対左打者,0.5,6,3,0,0,0,0
パ,オリックス・バファローズ,マチャド,42,投,対右打者,0.2,5,1,0,2,0,0
パ,オリックス・バファローズ,マチャド,42,投,対左打者,0,1,0,0,0,0,0
パ,オリックス・バファローズ,阿部 翔太,20,投,対右打者,0.5,2,1,0,1,0,0
パ,オリックス・バファローズ,阿部 翔太,20,投,対左打者,0.75,4,3,1,0,0,0
パ,オリックス・バファローズ,横山 楓,52,投,対右打者,0.286,7,2,0,3,1,0
パ,オリックス・バファローズ,横山 楓,52,投,対左打者,0.4,5,2,0,1,0,0
パ,オリックス・バファローズ,宮城 大弥,18,投,対右打者,0.429,28,12,1,6,0,0
パ,オリックス・バファローズ,宮城 大弥,18,投,対左打者,0.2,10,2,0,4,1,0
パ,オリックス・バファローズ,九里 亜蓮,22,投,対右打者,0.148,27,4,0,10,1,3
パ,オリックス・バファローズ,九里 亜蓮,22,投,対左打者,0.2,25,5,1,8,0,0
パ,オリックス・バファローズ,古田島 成龍,35,投,対右打者,0.333,6,2,0,2,0,0
パ,オリックス・バファローズ,古田島 成龍,35,投,対左打者,0.333,3,1,0,1,0,0
パ,オリックス・バファローズ,佐藤 一磨,93,投,対右打者,0.167,6,1,1,1,0,0
パ,オリックス・バファローズ,佐藤 一磨,93,投,対左打者,0.333,3,1,0,0,1,0
パ,オリックス・バファローズ,山﨑 颯一郎,21,投,対右打者,0.273,11,3,1,2,0,0
パ,オリックス・バファローズ,山﨑 颯一郎,21,投,対左打者,0.286,7,2,0,3,1,0
パ,オリックス・バファローズ,寺西 成騎,13,投,対右打者,0.25,20,5,0,3,2,1
パ,オリックス・バファローズ,寺西 成騎,13,投,対左打者,0.444,18,8,0,3,0,0
パ,オリックス・バファローズ,田嶋 大樹,29,投,対右打者,0.333,3,1,0,0,0,0
パ,オリックス・バファローズ,田嶋 大樹,29,投,対左打者,1,2,2,0,0,0,0
パ,オリックス・バファローズ,東松 快征,48,投,対右打者,0,1,0,0,1,3,0
パ,オリックス・バファローズ,東松 快征,48,投,対左打者,0,4,0,0,2,2,0
パ,オリックス・バファローズ,平野 佳寿,16,投,対右打者,0.333,3,1,1,0,0,0
パ,オリックス・バファローズ,平野 佳寿,16,投,対左打者,0.333,6,2,0,1,0,0
パ,オリックス・バファローズ,椋木 蓮,15,投,対右打者,0,4,0,0,1,0,0
パ,オリックス・バファローズ,椋木 蓮,15,投,対左打者,0,5,0,0,1,0,0
パ,オリックス・バファローズ,髙谷 舟,43,投,対右打者,1,4,4,1,0,1,0
パ,オリックス・バファローズ,髙谷 舟,43,投,対左打者,0.25,4,1,0,1,0,0
パ,オリックス・バファローズ,髙島 泰都,96,投,対右打者,0.375,8,3,0,1,1,0
パ,オリックス・バファローズ,髙島 泰都,96,投,対左打者,0.25,8,2,1,1,0,1
パ,千葉ロッテマリーンズ,ジャクソン,42,投,対右打者,0.111,9,1,0,2,2,0
パ,千葉ロッテマリーンズ,ジャクソン,42,投,対左打者,0,7,0,0,3,1,0
パ,千葉ロッテマリーンズ,ロング,73,投,対右打者,0.222,9,2,0,1,0,0
パ,千葉ロッテマリーンズ,ロング,73,投,対左打者,0.143,7,1,0,1,0,0
パ,千葉ロッテマリーンズ,益田 直也,52,投,対右打者,0.4,5,2,0,0,0,0
パ,千葉ロッテマリーンズ,益田 直也,52,投,対左打者,0.25,8,2,0,0,0,0
パ,千葉ロッテマリーンズ,横山 陸人,15,投,対右打者,0,5,0,0,2,0,0
パ,千葉ロッテマリーンズ,横山 陸人,15,投,対左打者,0,1,0,0,0,0,0
パ,千葉ロッテマリーンズ,宮﨑 颯,66,投,対右打者,0.375,8,3,1,1,0,0
パ,千葉ロッテマリーンズ,宮﨑 颯,66,投,対左打者,0.3,10,3,0,2,0,0
パ,千葉ロッテマリーンズ,高野 脩汰,34,投,対右打者,0.333,6,2,1,3,2,0
パ,千葉ロッテマリーンズ,高野 脩汰,34,投,対左打者,0.286,7,2,0,3,0,0
パ,千葉ロッテマリーンズ,小島 和哉,14,投,対右打者,0.308,13,4,0,2,4,0
パ,千葉ロッテマリーンズ,小島 和哉,14,投,対左打者,0.25,20,5,0,3,0,2
パ,千葉ロッテマリーンズ,西野 勇士,29,投,対右打者,0.286,14,4,3,5,1,0
パ,千葉ロッテマリーンズ,西野 勇士,29,投,対左打者,0.273,11,3,0,1,1,0
パ,千葉ロッテマリーンズ,田中 晴也,35,投,対右打者,0.211,19,4,0,8,0,2
パ,千葉ロッテマリーンズ,田中 晴也,35,投,対左打者,0.154,26,4,0,5,2,0
パ,千葉ロッテマリーンズ,毛利 海大,13,投,対右打者,0.158,19,3,0,2,1,0
パ,千葉ロッテマリーンズ,毛利 海大,13,投,対左打者,0.24,25,6,1,5,1,0
パ,千葉ロッテマリーンズ,木村 優人,53,投,対右打者,0.231,13,3,1,1,2,0
パ,千葉ロッテマリーンズ,木村 優人,53,投,対左打者,0.25,12,3,1,3,0,0
パ,千葉ロッテマリーンズ,鈴木 昭汰,47,投,対右打者,0.333,6,2,0,3,1,0
パ,千葉ロッテマリーンズ,鈴木 昭汰,47,投,対左打者,0.5,2,1,0,0,0,0
パ,千葉ロッテマリーンズ,廣池 康志郎,64,投,対右打者,0.333,9,3,0,3,1,2
パ,千葉ロッテマリーンズ,廣池 康志郎,64,投,対左打者,0.167,12,2,0,0,1,0
パ,千葉ロッテマリーンズ,廣畑 敦也,30,投,対右打者,0.4,5,2,1,2,0,0
パ,千葉ロッテマリーンズ,廣畑 敦也,30,投,対左打者,0.25,4,1,1,0,0,0
パ,千葉ロッテマリーンズ,澤田 圭佑,54,投,対右打者,0,4,0,0,2,0,0
パ,千葉ロッテマリーンズ,澤田 圭佑,54,投,対左打者,0,8,0,0,3,0,0
パ,東北楽天ゴールデンイーグルス,ウレーニャ,22,投,対右打者,0.333,6,2,0,1,0,0
パ,東北楽天ゴールデンイーグルス,ウレーニャ,22,投,対左打者,0.286,14,4,0,4,3,0
パ,東北楽天ゴールデンイーグルス,加治屋 蓮,41,投,対右打者,0.5,2,1,0,1,0,0
パ,東北楽天ゴールデンイーグルス,加治屋 蓮,41,投,対左打者,0,5,0,0,0,0,0
