選手名,チーム,試合,打率,本塁打,打点,安打,盗塁,出塁率,長打率,OPS,打席
木下 拓哉,中日,13,0.286,0,1,12,0,0.302,0.333,0.635,43
近藤 廉,中日,3,0,0,0,0,0,0,0,0,0
サノー,中日,15,0.217,3,8,10,0,0.28,0.435,0.715,50
齋藤 綱記,中日,13,0,0,0,0,0,0,0,0,0
櫻井 頼之介,中日,5,0,0,0,0,0,0,0,0,6
杉浦 稔大,中日,8,0,0,0,0,0,0,0,0,0
高橋 周平,中日,16,0.295,0,3,13,0,0.367,0.318,0.685,50
髙橋 宏斗,中日,6,0.167,0,2,2,0,0.167,0.167,0.334,13
田中 幹也,中日,29,0.234,0,4,22,4,0.294,0.287,0.581,107
知野 直人,中日,6,0,0,0,0,0,0,0,0,3
辻本 倫太郎,中日,8,0.091,0,0,1,0,0.091,0.091,0.182,12
土田 龍空,中日,9,0.188,2,3,3,0,0.235,0.563,0.798,17
仲地 礼亜,中日,3,0,0,0,0,0,0,0,0,0
中西 聖輝,中日,3,0.167,0,0,1,0,0.167,0.333,0.5,7
根尾 昂,中日,9,0,0,0,0,0,0,0,0,0
橋本 侑樹,中日,3,0,0,0,0,0,0,0,0,0
花田 旭,中日,10,0.263,1,5,10,0,0.275,0.395,0.67,40
樋口 正修,中日,5,0.333,0,0,1,2,0.333,0.333,0.666,3
ブライト 健太,中日,5,0.071,0,0,1,0,0.133,0.071,0.204,15
福 敬登,中日,1,0,0,0,0,0,0,0,0,0
福永 裕基,中日,26,0.271,1,6,26,5,0.358,0.323,0.681,109
藤嶋 健人,中日,11,0,0,0,0,0,0,0,0,0
ボスラー,中日,25,0.239,3,8,22,0,0.297,0.391,0.688,101
細川 成也,中日,34,0.316,5,20,37,0,0.438,0.504,0.942,144
マラー,中日,2,0.25,0,1,1,0,0.25,0.25,0.5,4
牧野 憲伸,中日,12,0,0,0,0,0,0,0,0,0
松山 晋也,中日,7,0,0,0,0,0,0,0,0,0
味谷 大誠,中日,2,0.333,0,0,1,0,0.333,0.333,0.666,3
村松 開人,中日,34,0.275,1,17,30,1,0.369,0.422,0.791,131
メヒア,中日,13,0,0,0,0,0,0,0,0,0
柳 裕也,中日,7,0.133,0,0,2,0,0.133,0.133,0.266,18
山本 泰寛,中日,5,0.333,0,0,2,0,0.429,0.333,0.762,7
吉田 聖弥,中日,4,0,0,0,0,0,0,0,0,0
ロドリゲス,中日,1,0,0,0,0,0,0,0,0,2
赤羽 由紘,ヤクルト,25,0.271,2,6,16,4,0.306,0.424,0.73,62
石井 巧,ヤクルト,1,0,0,0,0,0,0.25,0,0.25,4
伊藤 琉偉,ヤクルト,33,0.162,2,6,12,2,0.253,0.284,0.537,84
岩田 幸宏,ヤクルト,33,0.27,1,8,31,11,0.317,0.33,0.647,123
ウォルターズ,ヤクルト,2,0,0,0,0,0,0,0,0,3
内山 壮真,ヤクルト,11,0.41,2,8,16,2,0.5,0.59,1.09,46
オスナ,ヤクルト,25,0.247,2,10,23,0,0.304,0.344,0.648,102
大西 広樹,ヤクルト,5,0,0,0,0,0,0,0,0,0
小川 泰弘,ヤクルト,5,0.2,0,1,2,0,0.2,0.2,0.4,10
奥川 恭伸,ヤクルト,5,0,0,0,0,0,0,0,0,11
キハダ,ヤクルト,13,0,0,0,0,0,0,0,0,0
木澤 尚文,ヤクルト,9,0,0,0,0,0,0,0,0,0
北村 恵吾,ヤクルト,7,0.083,0,1,1,0,0.083,0.083,0.166,12
古賀 優大,ヤクルト,23,0.286,0,12,26,0,0.29,0.341,0.631,94
サンタナ,ヤクルト,35,0.254,8,16,29,0,0.366,0.535,0.901,134
澤井 廉,ヤクルト,4,0.3,1,2,3,0,0.3,0.7,1,10
清水 昇,ヤクルト,12,0,0,0,0,0,0,0,0,0
荘司 宏太,ヤクルト,12,0,0,0,0,0,0,0,0,0
鈴木 叶,ヤクルト,14,0.224,1,9,11,0,0.255,0.408,0.663,51
高梨 裕稔,ヤクルト,6,0.071,0,1,1,0,0.071,0.071,0.142,14
拓也,ヤクルト,4,0,0,0,0,0,0,0,0,0
田口 麗斗,ヤクルト,10,0,0,0,0,0,0,0,0,0
武岡 龍世,ヤクルト,36,0.265,3,11,26,0,0.339,0.408,0.747,109
田中 陽翔,ヤクルト,21,0.214,0,3,9,0,0.233,0.238,0.471,43
中村 悠平,ヤクルト,10,0.083,0,0,1,0,0.214,0.083,0.297,14
長岡 秀樹,ヤクルト,26,0.264,0,5,28,2,0.31,0.33,0.64,113
並木 秀尊,ヤクルト,14,0.278,1,2,10,5,0.278,0.361,0.639,36
橋本 星哉,ヤクルト,13,0.143,0,1,2,0,0.188,0.214,0.402,16
廣澤 優,ヤクルト,11,0,0,0,0,0,0,0,0,0
星 知弥,ヤクルト,14,0,0,0,0,0,0,0,0,0
増居 翔太,ヤクルト,2,0,0,0,0,0,0,0,0,1
増田 珠,ヤクルト,24,0.295,2,9,18,0,0.413,0.459,0.872,75
松本 健吾,ヤクルト,6,0.273,0,2,3,0,0.273,0.273,0.546,11
丸山 和郁,ヤクルト,25,0.387,2,8,24,4,0.397,0.581,0.978,63
丸山 翔大,ヤクルト,5,0,0,0,0,0,0,0,0,0
宮本 丈,ヤクルト,15,0.333,1,3,5,0,0.375,0.533,0.908,16
モイセエフ ニキータ,ヤクルト,2,0,0,0,0,0,0.5,0,0.5,2
茂木 栄五郎,ヤクルト,9,0.136,0,0,3,0,0.24,0.136,0.376,26
山野 太一,ヤクルト,6,0.214,0,3,3,0,0.2,0.214,0.414,15
吉村 貢司郎,ヤクルト,6,0,0,0,0,0,0.077,0,0.077,13
リランソ,ヤクルト,7,0,0,0,0,0,0,0,0,0
イヒネ イツア,ソフトバンク,8,0,0,0,0,0,0,0,0,2
伊藤 優輔,ソフトバンク,9,0,0,0,0,0,0,0,0,0
稲川 竜汰,ソフトバンク,1,0,0,0,0,0,0,0,0,0
今宮 健太,ソフトバンク,23,0.239,1,8,17,0,0.28,0.296,0.576,75
海野 隆司,ソフトバンク,28,0.2,1,6,15,0,0.256,0.293,0.549,88
上沢 直之,ソフトバンク,7,0,0,0,0,0,0,0,0,0
オスナ,ソフトバンク,5,0,0,0,0,0,0,0,0,0
大関 友久,ソフトバンク,6,0,0,0,0,0,0,0,0,0
大竹 風雅,ソフトバンク,2,0,0,0,0,0,0,0,0,0
大津 亮介,ソフトバンク,6,0,0,0,0,0,0,0,0,0
大野 稼頭央,ソフトバンク,3,0,0,0,0,0,0,0,0,0
尾形 崇斗,ソフトバンク,10,0,0,0,0,0,0,0,0,0
上茶谷 大河,ソフトバンク,9,0,0,0,0,0,0,0,0,0
川瀬 晃,ソフトバンク,13,0.182,0,4,6,0,0.222,0.182,0.404,36
川村 友斗,ソフトバンク,16,0,0,0,0,0,0,0,0,7
木村 光,ソフトバンク,15,0,0,0,0,0,0,0,0,0
栗原 陵矢,ソフトバンク,34,0.287,9,25,37,0,0.363,0.566,0.929,147
近藤 健介,ソフトバンク,34,0.287,8,24,33,1,0.421,0.565,0.986,145
笹川 吉康,ソフトバンク,7,0.19,0,2,4,0,0.227,0.333,0.56,22
徐 若熙,ソフトバンク,4,0,0,0,0,0,0,0,0,0
周東 佑京,ソフトバンク,33,0.261,1,7,31,6,0.323,0.319,0.642,136
庄子 雄大,ソフトバンク,13,0.3,0,0,3,1,0.462,0.4,0.862,13
スチュワート・ジュニア,ソフトバンク,4,0,0,0,0,0,0,0,0,0
杉山 一樹,ソフトバンク,8,0,0,0,0,0,0,0,0,0
鈴木 豪太,ソフトバンク,4,0,0,0,0,0,0,0,0,0
谷川原 健太,ソフトバンク,12,0.25,0,2,5,0,0.25,0.3,0.55,20
津森 宥紀,ソフトバンク,6,0,0,0,0,0,0,0,0,0
中村 晃,ソフトバンク,14,0.1,0,2,2,0,0.182,0.1,0.282,22
野村 勇,ソフトバンク,24,0.154,0,1,8,1,0.214,0.173,0.387,56
廣瀨 隆太,ソフトバンク,1,0,0,0,0,0,0,0,0,0
ヘルナンデス,ソフトバンク,12,0,0,0,0,0,0,0,0,0
前田 悠伍,ソフトバンク,1,0,0,0,0,0,0,0,0,0
牧原 大成,ソフトバンク,33,0.281,0,6,32,1,0.331,0.36,0.691,126
松本 晴,ソフトバンク,6,0,0,0,0,0,0,0,0,0
松本 裕樹,ソフトバンク,11,0,0,0,0,0,0,0,0,0
柳田 悠岐,ソフトバンク,28,0.264,3,14,29,0,0.305,0.382,0.687,118
柳町 達,ソフトバンク,31,0.208,0,13,21,0,0.299,0.277,0.576,118
山川 穂高,ソフトバンク,34,0.191,8,21,22,0,0.299,0.417,0.716,134
渡邉 陸,ソフトバンク,4,0.143,0,0,1,0,0.333,0.286,0.619,9
淺間 大基,日本ハム,8,0.174,1,2,4,1,0.208,0.348,0.556,24
有原 航平,日本ハム,5,0,0,0,0,0,0,0,0,0
池田 隆英,日本ハム,6,0,0,0,0,0,0,0,0,0
五十幡 亮汰,日本ハム,28,0.174,0,1,4,5,0.208,0.174,0.382,25
伊藤 大海,日本ハム,7,0,0,0,0,0,0,0,0,0
上原 健太,日本ハム,12,0,0,0,0,0,0,0,0,0
大川 慈英,日本ハム,2,0,0,0,0,0,0,0,0,0
大塚 瑠晏,日本ハム,14,0.25,1,2,6,0,0.4,0.417,0.817,30
カストロ,日本ハム,18,0.273,5,10,15,1,0.379,0.564,0.943,66
加藤 貴之,日本ハム,6,0,0,0,0,0,0,0,0,0
北山 亘基,日本ハム,5,0,0,0,0,0,0,0,0,0
清宮 幸太郎,日本ハム,37,0.269,7,23,36,2,0.365,0.463,0.828,156
古林 睿煬,日本ハム,6,0,0,0,0,0,0,0,0,0
郡司 裕也,日本ハム,37,0.252,2,9,32,0,0.347,0.315,0.662,147
齋藤 友貴哉,日本ハム,9,0,0,0,0,0,0,0,0,0
島本 浩也,日本ハム,12,0,0,0,0,0,0,0,0,0
清水 優心,日本ハム,12,0.143,1,4,3,0,0.217,0.333,0.55,24
進藤 勇也,日本ハム,5,0,0,0,0,0,0.167,0,0.167,12
達 孝太,日本ハム,6,0,0,0,0,0,0,0,0,0
田中 正義,日本ハム,10,0,0,0,0,0,0,0,0,0
玉井 大翔,日本ハム,10,0,0,0,0,0,0,0,0,0
田宮 裕涼,日本ハム,32,0.258,2,8,25,0,0.294,0.392,0.686,105
生田目 翼,日本ハム,3,0,0,0,0,0,0,0,0,0
奈良間 大己,日本ハム,29,0.28,2,11,21,3,0.349,0.413,0.762,84
西川 遥輝,日本ハム,18,0.186,1,4,8,1,0.364,0.326,0.69,55
野村 佑希,日本ハム,28,0.27,5,17,24,0,0.316,0.472,0.788,95
福島 蓮,日本ハム,2,0,0,0,0,0,0,0,0,0
福谷 浩司,日本ハム,9,0,0,0,0,0,0,0,0,0
細川 凌平,日本ハム,4,0.5,1,3,2,0,0.5,1.25,1.75,4
細野 晴希,日本ハム,5,0,0,0,0,0,0,0,0,0
堀 瑞輝,日本ハム,1,0,0,0,0,0,0,0,0,0
マルティネス,日本ハム,9,0.056,0,0,1,0,0.15,0.056,0.206,20
万波 中正,日本ハム,37,0.22,10,20,27,0,0.312,0.48,0.792,142
水谷 瞬,日本ハム,14,0.229,1,6,11,0,0.25,0.354,0.604,52
水野 達稀,日本ハム,33,0.295,1,11,33,1,0.325,0.42,0.745,123
矢澤 宏太,日本ハム,29,0.218,3,5,12,4,0.232,0.473,0.705,56
柳川 大晟,日本ハム,11,0,0,0,0,0,0,0,0,0
山縣 秀,日本ハム,9,0,0,1,0,0,0,0,0,20
山﨑 福也,日本ハム,7,0,0,0,0,0,0,0,0,0
山本 拓実,日本ハム,5,0,0,0,0,0,0,0,0,0
吉田 賢吾,日本ハム,7,0.071,0,1,1,0,0.071,0.214,0.285,14
レイエス,日本ハム,34,0.318,3,16,41,0,0.364,0.45,0.814,140
浅村 栄斗,楽天,30,0.274,4,14,26,1,0.352,0.442,0.794,108
石原 彪,楽天,1,0,0,0,0,0,0,0,0,0
伊藤 光,楽天,17,0.125,0,1,3,0,0.25,0.125,0.375,30
伊藤 裕季也,楽天,19,0.188,3,8,9,0,0.245,0.438,0.683,53
入江 大樹,楽天,5,0.5,0,0,3,0,0.5,0.5,1,6
ウレーニャ,楽天,6,0,0,0,0,0,0,0,0,0
内 星龍,楽天,12,0,0,0,0,0,0,0,0,0
江原 雅裕,楽天,1,0,0,0,0,0,0,0,0,0
太田 光,楽天,31,0.282,1,4,20,0,0.366,0.352,0.718,84
小郷 裕哉,楽天,30,0.209,0,6,18,5,0.244,0.233,0.477,91
加治屋 蓮,楽天,15,0,0,0,0,0,0,0,0,0
九谷 瑠,楽天,4,0,0,0,0,0,0,0,0,0
黒川 史陽,楽天,35,0.25,1,10,30,1,0.338,0.317,0.655,138
ゴンザレス,楽天,3,0.125,0,0,1,0,0.125,0.125,0.25,8
古謝 樹,楽天,6,0,0,0,0,0,0,0,0,0
小深田 大翔,楽天,31,0.2,0,5,17,5,0.277,0.247,0.524,99
阪上 翔也,楽天,3,0,0,0,0,0,0,0,0,7
佐藤 直樹,楽天,10,0.357,2,2,10,0,0.379,0.679,1.058,29
繁永 晟,楽天,4,0,0,0,0,0,0,0,0,6
柴田 大地,楽天,6,0,0,0,0,0,0,0,0,0
荘司 康誠,楽天,6,0,0,0,0,0,0,0,0,0
鈴木 翔天,楽天,14,0,0,0,0,0,0,0,0,0
鈴木 大地,楽天,19,0.16,0,1,4,0,0.276,0.16,0.436,30
宋 家豪,楽天,13,0,0,0,0,0,0,0,0,0
平良 竜哉,楽天,24,0.243,4,6,9,2,0.282,0.595,0.877,39
瀧中 瞭太,楽天,5,0,0,0,0,0,0,0,0,0
辰己 涼介,楽天,34,0.3,3,10,36,3,0.4,0.417,0.817,141
田中 千晴,楽天,13,0,0,0,0,0,0,0,0,0
津留﨑 大成,楽天,7,0,0,0,0,0,0,0,0,0
中込 陽翔,楽天,2,0,0,0,0,0,0,0,0,0
中島 大輔,楽天,30,0.196,1,7,18,4,0.245,0.326,0.571,102
西垣 雅矢,楽天,14,0,0,0,0,0,0,0,0,0
早川 隆久,楽天,4,0,0,0,0,0,0,0,0,0
藤井 聖,楽天,1,0,0,0,0,0,0,0,0,0
藤平 尚真,楽天,14,0,0,0,0,0,0,0,0,0
藤原 聡大,楽天,3,0,0,0,0,0,0,0,0,0
ボイト,楽天,18,0.136,0,3,8,0,0.212,0.186,0.398,66
マッカスカー,楽天,9,0.143,0,5,4,0,0.265,0.214,0.479,34
前田 健太,楽天,4,0,0,0,0,0,0,0,0,0
武藤 敦貴,楽天,6,0.111,0,0,1,0,0.2,0.111,0.311,10
村林 一輝,楽天,35,0.25,3,17,32,1,0.297,0.359,0.656,140
陽 柏翔,楽天,1,0,0,0,0,0,0,0,0,1
YG安田,楽天,11,0.172,1,4,5,0,0.226,0.379,0.605,31
ワォーターズ,楽天,6,0,0,0,0,0,0,0,0,1
渡辺 翔太,楽天,3,0,0,0,0,0,0,0,0,0
渡邊 佳明,楽天,16,0.28,0,3,7,0,0.28,0.32,0.6,27
秋山 俊,西武,5,0.143,0,0,2,0,0.143,0.143,0.286,14
石井 一成,西武,14,0.234,1,3,11,0,0.265,0.34,0.605,49
糸川 亮太,西武,9,0,0,0,0,0,0,0,0,0
岩城 颯空,西武,13,0,0,0,0,0,0,0,0,0
上田 大河,西武,2,0,0,0,0,0,0,0,0,0
カナリオ,西武,33,0.243,1,13,28,1,0.304,0.348,0.652,125
甲斐野 央,西武,13,0,0,0,0,0,0,0,0,0
岸 潤一郎,西武,28,0.222,0,5,12,2,0.279,0.278,0.557,63
栗山 巧,西武,9,0.125,0,0,1,0,0.222,0.125,0.347,9
黒田 将矢,西武,10,0,0,0,0,0,0,0,0,0
桑原 将志,西武,22,0.318,2,8,27,1,0.383,0.494,0.877,94
源田 壮亮,西武,34,0.204,1,10,20,0,0.295,0.265,0.56,116
古賀 悠斗,西武,25,0.277,1,7,13,1,0.327,0.383,0.71,56
小島 大河,西武,25,0.244,2,5,20,0,0.253,0.354,0.607,83
児玉 亮涼,西武,5,0,0,0,0,0,0,0,0,0
佐藤 隼輔,西武,3,0,0,0,0,0,0,0,0,0
佐藤 爽,西武,2,0,0,0,0,0,0,0,0,0
佐藤 太陽,西武,4,0.25,1,1,2,0,0.25,0.625,0.875,8
篠原 響,西武,10,0,0,0,0,0,0,0,0,0
菅井 信也,西武,5,0,0,0,0,0,0,0,0,0
隅田 知一郎,西武,6,0,0,0,0,0,0,0,0,0
平良 海馬,西武,6,0,0,0,0,0,0,0,0,0
髙橋 光成,西武,6,0,0,0,0,0,0,0,0,0
滝澤 夏央,西武,31,0.26,0,11,19,1,0.349,0.288,0.637,88
武内 夏暉,西武,6,0,0,0,0,0,0,0,0,0
茶野 篤政,西武,4,0,0,0,0,0,0,0,0,3
柘植 世那,西武,6,0.444,0,1,4,0,0.5,0.444,0.944,10
外崎 修汰,西武,9,0.2,1,5,6,0,0.286,0.333,0.619,35
仲田 慶介,西武,8,0.1,0,0,1,0,0.1,0.3,0.4,10
仲三 優太,西武,8,0.087,1,2,2,0,0.192,0.217,0.409,26
中村 祐太,西武,8,0,0,0,0,0,0,0,0,0
西川 愛也,西武,23,0.214,0,6,18,2,0.241,0.286,0.527,90
ネビン,西武,8,0.483,3,8,14,0,0.531,0.966,1.497,32
長谷川 信哉,西武,32,0.259,4,8,21,2,0.299,0.481,0.78,90
羽田 慎之介,西武,8,0,0,0,0,0,0,0,0,0
浜屋 将太,西武,13,0,0,0,0,0,0,0,0,0
平沢 大河,西武,22,0.377,2,11,29,1,0.429,0.558,0.987,85
冨士 大和,西武,2,0,0,0,0,0,0,0,0,0
堀越 啓太,西武,1,0,0,0,0,0,0,0,0,0
豆田 泰志,西武,2,0,0,0,0,0,0,0,0,0
山村 崇嘉,西武,16,0.205,1,5,8,0,0.279,0.282,0.561,44
Ｅ．ラミレス,西武,4,0,0,0,0,0,0,0,0,0
林 安可,西武,31,0.212,2,10,22,0,0.268,0.356,0.624,112
渡部 聖弥,西武,35,0.279,4,17,39,0,0.318,0.393,0.711,148
渡邉 勇太朗,西武,6,0,0,0,0,0,0,0,0,0
阿部 翔太,オリックス,1,0,0,0,0,0,0,0,0,0
入山 海斗,オリックス,8,0,0,0,0,0,0,0,0,0
エスピノーザ,オリックス,5,0,0,0,0,0,0,0,0,0
大城 滉二,オリックス,10,0.313,0,3,5,0,0.313,0.375,0.688,16
太田 椋,オリックス,31,0.279,2,17,31,0,0.36,0.432,0.792,125
片山 楽生,オリックス,4,0,0,0,0,0,0,0,0,0
川瀬 堅斗,オリックス,1,0,0,0,0,0,0,0,0,0
来田 涼斗,オリックス,12,0.281,0,4,9,0,0.303,0.344,0.647,33
宜保 翔,オリックス,3,0.2,0,0,2,2,0.273,0.2,0.473,11
九里 亜蓮,オリックス,6,0,0,0,0,0,0,0,0,0
紅林 弘太郎,オリックス,31,0.214,4,10,22,0,0.261,0.359,0.62,112
古田島 成龍,オリックス,6,0,0,0,0,0,0,0,0,0
権田 琉成,オリックス,2,0,0,0,0,0,0,0,0,0
佐藤 一磨,オリックス,4,0,0,0,0,0,0,0,0,0
シーモア,オリックス,31,0.206,3,15,22,0,0.232,0.327,0.559,112
ジェリー,オリックス,5,0,0,0,0,0,0,0,0,0
杉澤 龍,オリックス,6,0.385,0,1,5,0,0.529,0.615,1.144,17
曽谷 龍平,オリックス,4,0,0,0,0,0,0,0,0,0
髙島 泰都,オリックス,5,0,0,0,0,0,0,0,0,0
髙谷 舟,オリックス,1,0,0,0,0,0,0,0,0,0
田嶋 大樹,オリックス,4,0,0,0,0,0,0,0,0,0
寺西 成騎,オリックス,8,0,0,0,0,0,0,0,0,0
東松 快征,オリックス,5,0,0,0,0,0,0,0,0,0
中川 圭太,オリックス,28,0.277,2,17,26,2,0.343,0.415,0.758,105
西川 龍馬,オリックス,35,0.295,1,14,41,1,0.319,0.374,0.693,145
西野 真弘,オリックス,14,0.19,0,0,8,0,0.227,0.214,0.441,44
野口 智哉,オリックス,23,0.188,0,6,6,0,0.229,0.25,0.479,36
平沼 翔太,オリックス,6,0,0,0,0,0,0,0,0,1
